,Manufacturer,Model,Form factor,Smartphone?,Year,Sales (million units)
0,Nokia,1100,Bar,No,2003,250
1,Nokia,1110,Bar,No,2005,247.5
2,Apple,iPhone 6 and iPhone 6 Plus,Touchscreen,Yes,2014,222.4
3,Nokia,"105 series,",Bar,No,2013,200
4,Apple,iPhone 6S and iPhone 6S Plus,Touchscreen,Yes,2015,174.1
5,Apple,iPhone 5S,Touchscreen,Yes,2013,164.5
6,Nokia,3210,Bar,No,1999,161
7,Apple,iPhone 7 and iPhone 7 Plus,Touchscreen,Yes,2016,159.9
8,Apple,"iPhone 11, iPhone 11 Pro and iPhone 11 Pro Max",Touchscreen,Yes,2019,159.2
9,Apple,"iPhone XR, iPhone XS and iPhone XS Max",Touchscreen,Yes,2018,151.1
10,Nokia,6600,Bar,Yes,2003,150
11,Nokia,1200,Bar,No,2007,150
12,Nokia,5230,Touchscreen,Yes,2009,150
13,Samsung,E1100,Bar,No,2009,150
14,Apple,iPhone 5,Touchscreen,Yes,2012,146.2
15,Nokia,2600 (2610/2626/2630),Bar,No,2004,135
16,Motorola,RAZR V3,Flip phone,No,2004,130
17,Nokia,1600 (1650/1661),Bar,No,2005,130
18,Nokia,3310 (3330),Bar,No,2000,126
19,Apple,iPhone 8 and iPhone 8 Plus,Touchscreen,Yes,2017,124.7
20,Apple,"Apple iPhone 12, iPhone 12 mini, iPhone 12 Pro and iPhone 12 Pro Max",Touchscreen,Yes,2020,100
21,Nokia,1208 (1209),Bar,No,2007,100
22,Nokia,1280,Bar,No,2010,100
23,Nokia,6010 (6020/6030),Bar,No,2004,75
24,Samsung,Galaxy S III and Galaxy S III Mini,Touchscreen,Yes,2012,70
25,Samsung,Galaxy S4,Touchscreen,Yes,2013,70
26,Nokia,5130 (5220/5310),Bar,No,2007,65
27,Apple,iPhone X,Touchscreen,Yes,2017,63
28,Apple,iPhone 4S,Touchscreen,Yes,2011,60
29,Motorola,StarTAC,Flip phone,No,1996,60
30,Motorola,C200,Bar,No,2003,60
31,Motorola,C139,Bar,No,2005,60
32,Samsung,Galaxy S7 and Galaxy S7 edge,Touchscreen,Yes,2016,55
33,Nokia,3100 (3120),Bar,No,2003,50
34,Nokia,6230 (6233),Bar,No,2004,50
35,Apple,iPhone 4,Touchscreen,Yes,2010,50
36,Nokia,6300,Bar,No,2006,47
37,Samsung,Galaxy S6 and Galaxy S6 edge,Touchscreen,Yes,2015,45
38,Nokia,N70 (N72/N73),Bar,Yes,2005,45
39,Samsung,Galaxy S8 and Galaxy S8+,Touchscreen,Yes,2017,41
40,Samsung,Galaxy S II,Touchscreen,Yes,2011,40
41,Samsung,"Galaxy S10, Galaxy S10+ and Galaxy S10e",Touchscreen,Yes,2019,37
42,Samsung,Galaxy S9 and Galaxy S9+,Touchscreen,Yes,2018,35.4
43,Nokia,2650,Flip phone,No,2004,35
44,Apple,iPhone 3GS,Touchscreen,Yes,2009,35
45,Huawei,"P20, P20 Pro and P20 Lite",Touchscreen,Yes,2018,32
46,Samsung,Galaxy A10,Touchscreen,Yes,2019,30.3
47,Samsung,E250,Slider,No,2006,30
48,LG,KP100,Bar,No,2008,30
49,Samsung,Galaxy Note II,Touchscreen,Yes,2012,30
50,Nokia,5200 (5300),Slider,No,2006,30
51,Xiaomi,Redmi Note 8 and Redmi Note 8 Pro,Touchscreen,Yes,2019,30
52,Apple,iPhone 12 Pro Max,Touchscreen,Yes,2020,29
53,Samsung,"Galaxy S20, Galaxy S20+ and Galaxy S20 Ultra",Touchscreen,Yes,2020,28
54,Samsung,Galaxy S,Touchscreen,Yes,2010,25
55,Samsung,Galaxy Grand Prime Plus,Touchscreen,Yes,2016,24.2
56,Samsung,Galaxy A50,Touchscreen,Yes,2019,24.2
57,Apple,iPhone SE (2nd generation),Touchscreen,Yes,2020,24.2
58,Samsung,Galaxy A51,Touchscreen,Yes,2019,23.2
59,Samsung,Galaxy A20,Touchscreen,Yes,2019,23.1
60,LG,Chocolate VX8500,Slider,No,2006,21
61,Nokia,2100,Bar,No,2003,20
62,Xiaomi,Redmi Note 7 and Redmi Note 7 Pro,Touchscreen,Yes,2019,20
63,Huawei,P30 and P30 Pro,Touchscreen,Yes,2019,20
64,Samsung,Galaxy A21s,Touchscreen,Yes,2020,19.4
65,Huawei,Mate 10 and Mate 10 Pro,Touchscreen,Yes,2017,17
66,Huawei,Mate 20 and Mate 20 Pro,Touchscreen,Yes,2018,17
67,Samsung,Galaxy A01,Touchscreen,Yes,2019,16.9
68,HTC,Thunderbolt,Touchscreen,Yes,2011,16
69,Huawei,Mate 9,Touchscreen,Yes,2016,15.8
70,Samsung,Galaxy A11,Touchscreen,Yes,2020,15.3
71,Samsung,Galaxy J2 Core,Touchscreen,Yes,2018,15.2
72,Nokia,5610 XpressMusic,Slider,No,2007,15
73,Nokia,5800 XpressMusic,Touchscreen,Yes,2008,15
74,Nokia,E71,Keyboard bar,Yes,2008,15
75,Sony Ericsson,K300 (K310),Bar,No,2004,15
76,Sony Ericsson,K750,Bar,No,2005,15
77,Sony Ericsson,W800 (W810),Bar,No,2006,15
78,Research In Motion (RIM),BlackBerry Pearl,Bar,Yes,2006,15
79,Xiaomi,Redmi Note 9 Pro,Touchscreen,Yes,2020,15
80,Samsung,"Galaxy S21, Galaxy S21+ and Galaxy S21 Ultra",Touchscreen,Yes,2021,13.5
81,Motorola,Droid Bionic,Touchscreen,Yes,2011,13
82,LG,Cookie (KP500),Touchscreen,No,2009,13
83,Huawei,Mate 30 and Mate 30 Pro,Touchscreen,Yes,2019,12
84,Samsung,Galaxy S22 Ultra,Touchscreen,Yes,2022,10.9
85,Samsung,SGH-E700,Flip phone,No,2003,10
86,Nokia,N95,Slider,Yes,2007,10
87,LG,Shine,Slider,No,2008,10
88,Samsung,Star/Tocco Lite (S5230),Touchscreen,No,2009,10
89,Samsung,Galaxy Note,Touchscreen,Yes,2011,10
90,Xiaomi,Mi 2,Touchscreen,Yes,2012,10
91,Samsung,Galaxy Note 3,Touchscreen,Yes,2013,10
92,LG,G3,Touchscreen,Yes,2014,10
93,Samsung,Galaxy Note 8,Touchscreen,Yes,2017,10
94,Xiaomi,Redmi 6A,Touchscreen,Yes,2019,10
95,Samsung,Galaxy S20 FE,Touchscreen,Yes,2020,10
96,Oppo,A5,Touchscreen,Yes,2019,9.7
97,Samsung,Galaxy Note 9,Touchscreen,Yes,2018,9.6
98,Samsung,Galaxy A30,Touchscreen,Yes,2019,9.2
99,Xiaomi,Redmi 8A,Touchscreen,Yes,2019,7.3
100,Oppo,F1 Plus,Touchscreen,Yes,2016,7
101,Xiaomi,Redmi 8,Touchscreen,Yes,2019,6.8
102,Samsung,Galaxy J4+,Touchscreen,Yes,2018,6.4
103,Apple,iPhone,Touchscreen,Yes,2007,6
104,LG,Viewty (KU990),Bar,No,2007,5
105,Samsung,Galaxy J6+,Touchscreen,Yes,2018,4.9
106,Samsung,Galaxy Note 4,Touchscreen,Yes,2014,4.5
107,Samsung,Galaxy A10s,Touchscreen,Yes,2019,3.9
108,Samsung,Galaxy A30s,Touchscreen,Yes,2019,3.4
109,Nokia,N-Gage,Taco,Yes,2003,3
110,LG,G2,Touchscreen,Yes,2013,3
111,LeTV,LeEco Le 1s,Touchscreen,Yes,2016,3
112,Google,Pixel and Pixel XL,Touchscreen,Yes,2016,2.1
113,Palm,Centro,Keyboard bar,Yes,2007,2
114,Nokia,N97,Tilt slider,Yes,2009,2
